original,entrez,symbol,kegg
0,?|100130426,100130426,?,hsa100130426
1,?|100133144,100133144,?,hsa100133144
2,?|100134869,100134869,?,hsa100134869
3,?|10357,10357,?,hsa10357
4,?|10431,10431,?,hsa10431
5,?|136542,136542,?,hsa136542
6,?|155060,155060,?,hsa155060
7,?|26823,26823,?,hsa26823
8,?|280660,280660,?,hsa280660
9,?|317712,317712,?,hsa317712
10,?|340602,340602,?,hsa340602
11,?|388795,388795,?,hsa388795
12,?|390284,390284,?,hsa390284
13,?|391343,391343,?,hsa391343
14,?|391714,391714,?,hsa391714
15,?|404770,404770,?,hsa404770
16,?|441362,441362,?,hsa441362
17,?|442388,442388,?,hsa442388
18,?|553137,553137,?,hsa553137
19,?|57714,57714,?,hsa57714
20,?|645851,645851,?,hsa645851
21,?|652919,652919,?,hsa652919
22,?|653553,653553,?,hsa653553
23,?|728045,728045,?,hsa728045
24,?|728603,728603,?,hsa728603
25,?|728788,728788,?,hsa728788
26,?|729884,729884,?,hsa729884
27,?|8225,8225,?,hsa8225
28,?|90288,90288,?,hsa90288
29,A1BG|1,1,A1BG,hsa1
30,A1CF|29974,29974,A1CF,hsa29974
31,A2BP1|54715,54715,A2BP1,hsa54715
32,A2LD1|87769,87769,A2LD1,hsa87769
33,A2M|2,2,A2M,hsa2
34,A2ML1|144568,144568,A2ML1,hsa144568
35,A4GALT|53947,53947,A4GALT,hsa53947
36,A4GNT|51146,51146,A4GNT,hsa51146
37,AAA1|404744,404744,AAA1,hsa404744
38,AAAS|8086,8086,AAAS,hsa8086
39,AACS|65985,65985,AACS,hsa65985
40,AACSL|729522,729522,AACSL,hsa729522
41,AADAC|13,13,AADAC,hsa13
42,AADACL2|344752,344752,AADACL2,hsa344752
43,AADACL3|126767,126767,AADACL3,hsa126767
44,AADACL4|343066,343066,AADACL4,hsa343066
45,AADAT|51166,51166,AADAT,hsa51166
46,AAGAB|79719,79719,AAGAB,hsa79719
47,AAK1|22848,22848,AAK1,hsa22848
48,AAMP|14,14,AAMP,hsa14
49,AANAT|15,15,AANAT,hsa15
50,AARS|16,16,AARS,hsa16
51,AARS2|57505,57505,AARS2,hsa57505
52,AARSD1|80755,80755,AARSD1,hsa80755
53,AASDH|132949,132949,AASDH,hsa132949
